system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
0000000000000000004e,"{type=[[0.0, 964.6274509803922]]}","{type=[[0.0, 964.6274509803922]]}","{type=[[0.0, 964.6274509803922]]}","{type=[[0.0, 268.82745098039214], [1.0, 695.8000000000001]]}","{type=[[0.0, 268.82745098039214], [1.0, 695.8000000000001]]}","{type=[[0.0, 268.82745098039214], [1.0, 695.8000000000001]]}",522687937,"{type=[[0.0, 964.6274509803922]]}","{type=[[0.0, 964.6274509803922]]}","{type=[[0.0, 964.6274509803922]]}",
0000000000000000004f,"{type=[[0.0, 958.6352941176474]]}","{type=[[0.0, 958.6352941176474]]}","{type=[[0.0, 958.6352941176474]]}","{type=[[0.0, 958.6352941176474]]}","{type=[[0.0, 958.6352941176474]]}","{type=[[0.0, 958.6352941176474]]}",522425492,"{type=[[0.0, 958.6352941176474]]}","{type=[[0.0, 958.6352941176474]]}","{type=[[0.0, 958.6352941176474]]}",
00000000000000000050,"{type=[[0.0, 948.8823529411767]]}","{type=[[0.0, 948.8823529411767]]}","{type=[[0.0, 948.8823529411767]]}","{type=[[0.0, 81.39607843137253], [1.0, 867.4862745098039]]}","{type=[[0.0, 81.39607843137253], [1.0, 867.4862745098039]]}","{type=[[0.0, 81.39607843137253], [1.0, 867.4862745098039]]}",521802172,"{type=[[0.0, 948.8823529411767]]}","{type=[[0.0, 948.8823529411767]]}","{type=[[0.0, 948.8823529411767]]}",
00000000000000000051,"{type=[[0.0, 962.3137254901966]]}","{type=[[0.0, 956.3137254901966], [1.0, 6.0]]}","{type=[[0.0, 956.3137254901966], [1.0, 6.0]]}","{type=[[0.0, 55.30588235294119], [1.0, 907.0078431372553]]}","{type=[[0.0, 55.30588235294119], [1.0, 907.0078431372553]]}","{type=[[0.0, 61.30588235294119], [1.0, 901.0078431372553]]}",522327059,"{type=[[0.0, 962.3137254901966]]}","{type=[[0.0, 962.3137254901966]]}","{type=[[0.0, 962.3137254901966]]}",
00000000000000000052,"{type=[[0.0, 949.7176470588233], [1.0, 18.55686274509804]]}","{type=[[0.0, 928.9372549019606], [1.0, 39.33725490196079]]}","{type=[[0.0, 947.4941176470587], [1.0, 20.780392156862746]]}","{type=[[0.0, 93.16078431372549], [1.0, 875.1137254901961]]}","{type=[[0.0, 111.71764705882352], [1.0, 856.556862745098]]}","{type=[[0.0, 132.49803921568625], [1.0, 835.7764705882353]]}",522530448,"{type=[[0.0, 968.2745098039214]]}","{type=[[0.0, 968.2745098039214]]}","{type=[[0.0, 968.2745098039214]]}",
00000000000000000053,"{type=[[0.0, 926.9568627450982], [1.0, 25.0]]}","{type=[[0.0, 875.9568627450982], [1.0, 76.0]]}","{type=[[0.0, 900.9568627450982], [1.0, 51.0]]}","{type=[[0.0, 135.678431372549], [1.0, 816.278431372549]]}","{type=[[0.0, 160.67843137254903], [1.0, 791.278431372549]]}","{type=[[0.0, 211.67843137254908], [1.0, 740.278431372549]]}",521834971,"{type=[[0.0, 951.9568627450981]]}","{type=[[0.0, 951.9568627450981]]}","{type=[[0.0, 951.9568627450981]]}",
00000000000000000054,"{type=[[0.0, 946.8862745098045]]}","{type=[[0.0, 942.8862745098044], [1.0, 4.0]]}","{type=[[0.0, 942.8862745098044], [1.0, 4.0]]}","{type=[[0.0, 182.72156862745098], [1.0, 764.1647058823531]]}","{type=[[0.0, 182.72156862745098], [1.0, 764.1647058823531]]}","{type=[[0.0, 186.72156862745098], [1.0, 760.1647058823531]]}",521533162,"{type=[[0.0, 946.8862745098045]]}","{type=[[0.0, 946.8862745098045]]}","{type=[[0.0, 946.8862745098045]]}",
00000000000000000055,"{type=[[0.0, 943.3490196078434]]}","{type=[[0.0, 941.027450980392], [1.0, 2.3215686274509806]]}","{type=[[0.0, 943.027450980392], [1.0, 2.3215686274509806]]}","{type=[[0.0, 459.18039215686264], [1.0, 484.16862745098047]]}","{type=[[0.0, 459.18039215686264], [1.0, 486.16862745098047]]}","{type=[[0.0, 461.5019607843136], [1.0, 483.84705882352944]]}",521421633,"{type=[[0.0, 943.3490196078434]]}","{type=[[0.0, 943.3490196078434]]}","{type=[[0.0, 945.3490196078434]]}",
00000000000000000056,"{type=[[0.0, 934.5098039215686]]}","{type=[[0.0, 934.5098039215686]]}","{type=[[0.0, 934.5098039215686]]}","{type=[[0.0, 120.7764705882353], [1.0, 813.7333333333333]]}","{type=[[0.0, 120.7764705882353], [1.0, 813.7333333333333]]}","{type=[[0.0, 120.7764705882353], [1.0, 813.7333333333333]]}",520522752,"{type=[[0.0, 934.5098039215686]]}","{type=[[0.0, 934.5098039215686]]}","{type=[[0.0, 934.5098039215686]]}",
00000000000000000057,"{type=[[0.0, 934.9607843137255]]}","{type=[[0.0, 934.9607843137255]]}","{type=[[0.0, 934.9607843137255]]}","{type=[[0.0, 261.69803921568626], [1.0, 673.2627450980392]]}","{type=[[0.0, 261.69803921568626], [1.0, 673.2627450980392]]}","{type=[[0.0, 261.69803921568626], [1.0, 673.2627450980392]]}",520640862,"{type=[[0.0, 934.9607843137255]]}","{type=[[0.0, 934.9607843137255]]}","{type=[[0.0, 934.9607843137255]]}",
00000000000000000058,"{type=[[0.0, 937.1215686274509]]}","{type=[[0.0, 937.1215686274509]]}","{type=[[0.0, 937.1215686274509]]}","{type=[[0.0, 251.41960784313727], [1.0, 685.7019607843138]]}","{type=[[0.0, 251.41960784313727], [1.0, 685.7019607843138]]}","{type=[[0.0, 251.41960784313727], [1.0, 685.7019607843138]]}",520968921,"{type=[[0.0, 937.1215686274509]]}","{type=[[0.0, 937.1215686274509]]}","{type=[[0.0, 937.1215686274509]]}",
00000000000000000059,"{type=[[0.0, 944.462745098039], [1.0, 3.0]]}","{type=[[0.0, 912.8705882352938], [1.0, 34.59215686274511]]}","{type=[[0.0, 915.8705882352938], [1.0, 31.592156862745107]]}","{type=[[0.0, 68.4862745098039], [1.0, 878.976470588235]]}","{type=[[0.0, 71.4862745098039], [1.0, 875.976470588235]]}","{type=[[0.0, 103.07843137254902], [1.0, 844.3843137254898]]}",521579105,"{type=[[0.0, 947.4627450980389]]}","{type=[[0.0, 947.4627450980389]]}","{type=[[0.0, 947.4627450980389]]}",
0000000000000000005a,"{type=[[0.0, 947.709803921569]]}","{type=[[0.0, 947.709803921569]]}","{type=[[0.0, 947.709803921569]]}","{type=[[0.0, 86.28627450980392], [1.0, 861.4235294117651]]}","{type=[[0.0, 86.28627450980392], [1.0, 861.4235294117651]]}","{type=[[0.0, 86.28627450980392], [1.0, 861.4235294117651]]}",521828433,"{type=[[0.0, 947.709803921569]]}","{type=[[0.0, 947.709803921569]]}","{type=[[0.0, 947.709803921569]]}",
000000000000000000ec,"{type=[[0.0, 981.0549019607843]]}","{type=[[0.0, 972.8470588235294], [1.0, 8.207843137254901]]}","{type=[[0.0, 972.8470588235294], [1.0, 8.207843137254901]]}","{type=[[0.0, 224.90196078431373], [1.0, 756.1529411764706]]}","{type=[[0.0, 224.90196078431373], [1.0, 756.1529411764706]]}","{type=[[0.0, 233.10980392156864], [1.0, 747.9450980392156]]}",523298030,"{type=[[0.0, 981.0549019607843]]}","{type=[[0.0, 981.0549019607843]]}","{type=[[0.0, 981.0549019607843]]}",
000000000000000000ef,"{type=[[0.0, 970.8666666666661]]}","{type=[[0.0, 958.8666666666661], [1.0, 12.0]]}","{type=[[0.0, 958.8666666666661], [1.0, 12.0]]}","{type=[[0.0, 53.976470588235294], [1.0, 916.890196078431]]}","{type=[[0.0, 53.976470588235294], [1.0, 916.890196078431]]}","{type=[[0.0, 65.9764705882353], [1.0, 904.8901960784309]]}",522996198,"{type=[[0.0, 970.8666666666661]]}","{type=[[0.0, 970.8666666666661]]}","{type=[[0.0, 970.8666666666661]]}",
000000000000000000f0,"{type=[[0.0, 967.1803921568627]]}","{type=[[0.0, 967.1803921568627]]}","{type=[[0.0, 967.1803921568627]]}","{type=[[0.0, 4.996078431372549], [1.0, 962.1843137254901]]}","{type=[[0.0, 4.996078431372549], [1.0, 962.1843137254901]]}","{type=[[0.0, 4.996078431372549], [1.0, 962.1843137254901]]}",522655011,"{type=[[0.0, 967.1803921568627]]}","{type=[[0.0, 967.1803921568627]]}","{type=[[0.0, 967.1803921568627]]}",
000000000000000000f1,"{type=[[0.0, 964.1725490196084], [1.0, 3.776470588235294]]}","{type=[[0.0, 944.7294117647065], [1.0, 23.21960784313726]]}","{type=[[0.0, 948.5058823529417], [1.0, 19.443137254901963]]}","{type=[[0.0, 15.741176470588234], [1.0, 952.2078431372553]]}","{type=[[0.0, 19.517647058823535], [1.0, 948.43137254902]]}","{type=[[0.0, 38.9607843137255], [1.0, 928.9882352941182]]}",522628768,"{type=[[0.0, 967.9490196078438]]}","{type=[[0.0, 967.9490196078438]]}","{type=[[0.0, 967.9490196078438]]}",
000000000000000000f2,"{type=[[0.0, 965.1294117647057]]}","{type=[[0.0, 965.1294117647057]]}","{type=[[0.0, 965.1294117647057]]}","{type=[[0.0, 281.27450980392155], [1.0, 683.8549019607846]]}","{type=[[0.0, 281.27450980392155], [1.0, 683.8549019607846]]}","{type=[[0.0, 281.27450980392155], [1.0, 683.8549019607846]]}",522556609,"{type=[[0.0, 965.1294117647057]]}","{type=[[0.0, 965.1294117647057]]}","{type=[[0.0, 965.1294117647057]]}",
000000000000000000f3,"{type=[[0.0, 968.6666666666666]]}","{type=[[0.0, 966.666666666667], [1.0, 2.0]]}","{type=[[0.0, 966.666666666667], [1.0, 2.0]]}","{type=[[0.0, 520.1843137254901], [1.0, 448.48235294117643]]}","{type=[[0.0, 520.1843137254901], [1.0, 448.48235294117643]]}","{type=[[0.0, 522.1843137254901], [1.0, 446.48235294117643]]}",522786254,"{type=[[0.0, 968.6666666666666]]}","{type=[[0.0, 968.6666666666666]]}","{type=[[0.0, 968.6666666666666]]}",
