system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000203,"{type=[[0.0, 903.1019607843142], [1.0, 2.0]]}","{type=[[0.0, 780.0235294117651], [1.0, 125.078431372549]]}","{type=[[0.0, 782.0235294117651], [1.0, 123.078431372549]]}","{type=[[0.0, 323.05882352941177], [1.0, 582.0431372549023]]}","{type=[[0.0, 325.05882352941177], [1.0, 580.0431372549023]]}","{type=[[0.0, 448.1372549019608], [1.0, 456.9647058823529]]}",518718464,"{type=[[0.0, 905.1019607843144]]}","{type=[[0.0, 905.1019607843144]]}","{type=[[0.0, 905.1019607843144]]}",
00000000000000000204,"{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 239.52941176470588], [1.0, 659.8745098039218]]}","{type=[[0.0, 239.52941176470588], [1.0, 659.8745098039218]]}","{type=[[0.0, 239.52941176470588], [1.0, 659.8745098039218]]}",518626617,"{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 899.4039215686275]]}","{type=[[0.0, 899.4039215686275]]}",
00000000000000000205,"{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 703.8156862745094], [1.0, 198.4078431372549]]}","{type=[[0.0, 703.8156862745094], [1.0, 198.4078431372549]]}","{type=[[0.0, 703.8156862745094], [1.0, 198.4078431372549]]}",518646299,"{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 902.2235294117642]]}","{type=[[0.0, 902.2235294117642]]}",
00000000000000000206,"{type=[[0.0, 907.0078431372551]]}","{type=[[0.0, 901.164705882353], [1.0, 5.8431372549019605]]}","{type=[[0.0, 901.164705882353], [1.0, 5.8431372549019605]]}","{type=[[0.0, 18.133333333333333], [1.0, 888.8745098039216]]}","{type=[[0.0, 18.133333333333333], [1.0, 888.8745098039216]]}","{type=[[0.0, 23.976470588235294], [1.0, 883.0313725490195]]}",519000641,"{type=[[0.0, 907.0078431372551]]}","{type=[[0.0, 907.0078431372551]]}","{type=[[0.0, 907.0078431372551]]}",
00000000000000000207,"{type=[[0.0, 896.4078431372552], [1.0, 10.0]]}","{type=[[0.0, 889.3294117647062], [1.0, 17.07843137254902]]}","{type=[[0.0, 899.3294117647062], [1.0, 7.07843137254902]]}","{type=[[0.0, 226.75294117647059], [1.0, 679.6549019607843]]}","{type=[[0.0, 236.75294117647059], [1.0, 669.6549019607843]]}","{type=[[0.0, 243.8313725490196], [1.0, 662.5764705882352]]}",519033440,"{type=[[0.0, 906.4078431372552]]}","{type=[[0.0, 906.4078431372552]]}","{type=[[0.0, 906.4078431372552]]}",
00000000000000000208,"{type=[[0.0, 842.6666666666667], [1.0, 65.19607843137254]]}","{type=[[0.0, 841.6666666666667], [1.0, 66.19607843137254]]}","{type=[[0.0, 906.8627450980391], [1.0, 1.0]]}","{type=[[0.0, 220.39999999999998], [1.0, 687.4627450980394]]}","{type=[[0.0, 285.5960784313726], [1.0, 622.2666666666668]]}","{type=[[0.0, 286.5960784313726], [1.0, 621.2666666666668]]}",519072806,"{type=[[0.0, 907.8627450980393]]}","{type=[[0.0, 907.8627450980393]]}","{type=[[0.0, 907.8627450980393]]}",
00000000000000000209,"{type=[[0.0, 894.3411764705882], [1.0, 12.52156862745098]]}","{type=[[0.0, 894.3411764705882], [1.0, 12.52156862745098]]}","{type=[[0.0, 906.8627450980391]]}","{type=[[0.0, 396.04705882352954], [1.0, 510.8156862745098]]}","{type=[[0.0, 408.5686274509805], [1.0, 498.29411764705884]]}","{type=[[0.0, 408.5686274509805], [1.0, 498.29411764705884]]}",519059685,"{type=[[0.0, 906.8627450980391]]}","{type=[[0.0, 906.8627450980391]]}","{type=[[0.0, 906.8627450980391]]}",
0000000000000000020a,"{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 602.9176470588235], [1.0, 299.65882352941156]]}","{type=[[0.0, 602.9176470588235], [1.0, 299.65882352941156]]}","{type=[[0.0, 602.9176470588235], [1.0, 299.65882352941156]]}",518659482,"{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 902.5764705882353]]}","{type=[[0.0, 902.5764705882353]]}",
0000000000000000020b,"{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 203.2823529411765], [1.0, 694.7607843137257]]}","{type=[[0.0, 203.2823529411765], [1.0, 694.7607843137257]]}","{type=[[0.0, 203.2823529411765], [1.0, 694.7607843137257]]}",518587312,"{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 898.0431372549021]]}","{type=[[0.0, 898.0431372549021]]}",
0000000000000000020c,"{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}",518200182,"{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}","{type=[[0.0, 891.6862745098039]]}",
