system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000003,"{type=[[0.0, 920.5607843137257]]}","{type=[[0.0, 920.5607843137257]]}","{type=[[0.0, 920.5607843137257]]}","{type=[[1.0, 920.5607843137257]]}","{type=[[1.0, 920.5607843137257]]}","{type=[[1.0, 920.5607843137257]]}",520129173,"{type=[[0.0, 920.5607843137257]]}","{type=[[0.0, 920.5607843137257]]}","{type=[[0.0, 920.5607843137257]]}",
00000000000000000004,"{type=[[0.0, 910.7450980392159]]}","{type=[[0.0, 910.7450980392159]]}","{type=[[0.0, 910.7450980392159]]}","{type=[[1.0, 910.7450980392159]]}","{type=[[1.0, 910.7450980392159]]}","{type=[[1.0, 910.7450980392159]]}",519617412,"{type=[[0.0, 910.7450980392159]]}","{type=[[0.0, 910.7450980392159]]}","{type=[[0.0, 910.7450980392159]]}",
00000000000000000005,"{type=[[0.0, 911.9294117647062]]}","{type=[[0.0, 911.9294117647062]]}","{type=[[0.0, 911.9294117647062]]}","{type=[[0.0, 29.933333333333334], [1.0, 881.9960784313728]]}","{type=[[0.0, 29.933333333333334], [1.0, 881.9960784313728]]}","{type=[[0.0, 29.933333333333334], [1.0, 881.9960784313728]]}",519702714,"{type=[[0.0, 911.9294117647062]]}","{type=[[0.0, 911.9294117647062]]}","{type=[[0.0, 911.9294117647062]]}",
00000000000000000006,"{type=[[0.0, 920.7882352941177]]}","{type=[[0.0, 920.7882352941177]]}","{type=[[0.0, 920.7882352941177]]}","{type=[[0.0, 920.7882352941177]]}","{type=[[0.0, 920.7882352941177]]}","{type=[[0.0, 920.7882352941177]]}",519912685,"{type=[[0.0, 920.7882352941177]]}","{type=[[0.0, 920.7882352941177]]}","{type=[[0.0, 920.7882352941177]]}",
00000000000000000007,"{type=[[0.0, 914.7176470588239]]}","{type=[[0.0, 914.7176470588239]]}","{type=[[0.0, 914.7176470588239]]}","{type=[[0.0, 914.7176470588239]]}","{type=[[0.0, 914.7176470588239]]}","{type=[[0.0, 914.7176470588239]]}",519709286,"{type=[[0.0, 914.7176470588239]]}","{type=[[0.0, 914.7176470588239]]}","{type=[[0.0, 914.7176470588239]]}",
00000000000000000008,"{type=[[0.0, 920.1058823529412]]}","{type=[[0.0, 920.1058823529412]]}","{type=[[0.0, 920.1058823529412]]}","{type=[[0.0, 65.56470588235295], [1.0, 854.5411764705882]]}","{type=[[0.0, 65.56470588235295], [1.0, 854.5411764705882]]}","{type=[[0.0, 65.56470588235295], [1.0, 854.5411764705882]]}",519833963,"{type=[[0.0, 920.1058823529412]]}","{type=[[0.0, 920.1058823529412]]}","{type=[[0.0, 920.1058823529412]]}",
00000000000000000009,"{type=[[0.0, 915.5137254901963]]}","{type=[[0.0, 915.5137254901963]]}","{type=[[0.0, 915.5137254901963]]}","{type=[[0.0, 56.86274509803921], [1.0, 858.650980392157]]}","{type=[[0.0, 56.86274509803921], [1.0, 858.650980392157]]}","{type=[[0.0, 56.86274509803921], [1.0, 858.650980392157]]}",519866776,"{type=[[0.0, 915.5137254901963]]}","{type=[[0.0, 915.5137254901963]]}","{type=[[0.0, 915.5137254901963]]}",
0000000000000000000a,"{type=[[0.0, 920.7411764705879]]}","{type=[[0.0, 920.7411764705879]]}","{type=[[0.0, 920.7411764705879]]}","{type=[[0.0, 920.7411764705879]]}","{type=[[0.0, 920.7411764705879]]}","{type=[[0.0, 920.7411764705879]]}",519978296,"{type=[[0.0, 920.7411764705879]]}","{type=[[0.0, 920.7411764705879]]}","{type=[[0.0, 920.7411764705879]]}",
00000000000000000013,"{type=[[0.0, 919.7843137254902]]}","{type=[[0.0, 919.7843137254902]]}","{type=[[0.0, 919.7843137254902]]}","{type=[[0.0, 4.572549019607843], [1.0, 915.2117647058823]]}","{type=[[0.0, 4.572549019607843], [1.0, 915.2117647058823]]}","{type=[[0.0, 4.572549019607843], [1.0, 915.2117647058823]]}",520096355,"{type=[[0.0, 919.7843137254902]]}","{type=[[0.0, 919.7843137254902]]}","{type=[[0.0, 919.7843137254902]]}",
00000000000000000014,"{type=[[0.0, 922.7607843137257]]}","{type=[[0.0, 922.7607843137257]]}","{type=[[0.0, 922.7607843137257]]}","{type=[[0.0, 0.5568627450980392], [1.0, 922.2039215686277]]}","{type=[[0.0, 0.5568627450980392], [1.0, 922.2039215686277]]}","{type=[[0.0, 0.5568627450980392], [1.0, 922.2039215686277]]}",520148836,"{type=[[0.0, 922.7607843137257]]}","{type=[[0.0, 922.7607843137257]]}","{type=[[0.0, 922.7607843137257]]}",
